order_id,order_date,year,month,quarter,month_name,customer_id,product_id,category,channel,size,quantity,mrp,discount_pct,selling_price,revenue_inr,cogs_inr,gross_profit_inr,gross_margin_pct,order_status,is_returned,payment_method,city
ORD-00001,2022-12-09,2022,12,Q4,Dec,CUST-0058,TSS-0036,Friends,Amazon,L,2,699,20.6,555.0,1110.0,536.0,574.0,51.7,Cancelled,False,UPI,Mumbai
ORD-00002,2022-03-08,2022,3,Q1,Mar,CUST-0016,TSS-0007,Marvel,Amazon,S,2,999,9.5,904.0,1808.0,686.0,1122.0,62.1,Cancelled,False,Credit Card,Ahmedabad
ORD-00003,2023-11-26,2023,11,Q4,Nov,CUST-0230,TSS-0041,Friends,D2C Website,L,3,599,15.6,505.0,1515.0,732.0,783.0,51.7,Delivered,False,Net Banking,Bengaluru
ORD-00004,2023-11-26,2023,11,Q4,Nov,CUST-0230,TSS-0109,Sports,D2C Website,L,1,699,19.5,563.0,563.0,242.0,321.0,57.0,Cancelled,False,COD,Bengaluru
ORD-00005,2024-12-13,2024,12,Q4,Dec,CUST-0064,TSS-0076,Music,D2C Website,XL,2,899,22.8,694.0,1388.0,562.0,826.0,59.5,Delivered,False,UPI,Delhi
ORD-00006,2024-03-03,2024,3,Q1,Mar,CUST-0117,TSS-0026,DC,D2C Website,S,1,899,9.2,816.0,816.0,370.0,446.0,54.7,Delivered,False,Debit Card,Hyderabad
ORD-00007,2024-03-03,2024,3,Q1,Mar,CUST-0117,TSS-0098,Movies & TV,D2C Website,M,1,1199,8.7,1095.0,1095.0,380.0,715.0,65.3,Delivered,False,COD,Hyderabad
ORD-00008,2023-07-08,2023,7,Q3,Jul,CUST-0088,TSS-0098,Movies & TV,Amazon,M,3,1199,7.2,1113.0,3339.0,1140.0,2199.0,65.9,Delivered,False,Wallet,Patna
ORD-00009,2024-03-25,2024,3,Q1,Mar,CUST-0167,TSS-0009,Marvel,Flipkart,M,1,899,15.4,760.0,760.0,285.0,475.0,62.5,Delivered,False,Credit Card,Visakhapatnam
ORD-00010,2023-07-21,2023,7,Q3,Jul,CUST-0256,TSS-0068,Harry Potter,Amazon,XL,2,999,6.1,938.0,1876.0,664.0,1212.0,64.6,Cancelled,False,COD,Kolkata
ORD-00011,2023-08-05,2023,8,Q3,Aug,CUST-0205,TSS-0024,DC,D2C Website,L,2,999,13.0,869.0,1738.0,788.0,950.0,54.7,Delivered,False,Wallet,Ahmedabad
ORD-00012,2023-09-13,2023,9,Q3,Sep,CUST-0217,TSS-0120,Sports,D2C Website,S,3,1599,11.2,1419.0,4257.0,1599.0,2658.0,62.4,Delivered,False,Wallet,Gurgaon
ORD-00013,2024-12-18,2024,12,Q4,Dec,CUST-0059,TSS-0088,Music,D2C Website,XXL,1,899,15.3,761.0,761.0,284.0,477.0,62.7,Delivered,False,COD,Ahmedabad
ORD-00014,2024-12-18,2024,12,Q4,Dec,CUST-0059,TSS-0029,DC,D2C Website,XL,1,699,21.4,549.0,549.0,293.0,256.0,46.6,Delivered,False,Credit Card,Ahmedabad
